erd;proposal;vote;power
erd1rm43e3czc7uq2m8w4kgdhm7cyh0dyxj2gmzwqnu70z5pgjjd8dfstvlqt2;01;yes;46621326
erd1n3jn29ndm6994tkfr4r34w57sx5mtd88sxyxeq28mudk4nynzkdquntwtp;01;yes;95381527
erd1ez0mykqpaeu0csjjre0al356pywmck4hc67tlhx73lqywrarg5vsnvhlem;01;yes;13593200
erd1szxawzh8jrffamqryfec5d4ewfdm7cqntlkxf2j9hjsewtszek8qf52q9e;01;yes;1096987
erd132th05slxkdqzt979mka6x49kk6w0p8yat2pnpywdmc0600sejvqn4mpul;01;yes;37890752
erd12x2erlcs5y60gk7wtr747c37edxlnslfku5qecn3d5nhyh4jsgrs7uycn6;01;yes;1736939
erd1qz0lsny8gmwyrerqrfpgcm30ulxgvvkyk098h4aq0dyagq396wgsdl25al;01;yes;456228
erd1yjre0e85lh36qgc45g6kfza990ctk7dquldukgvpg0ct5zj504lsdjffsx;01;yes;8388639
erd1xrrpsa7n56v7y350d43wy04mvts2l2csluyd90zuye703ym8g0xqm326hp;01;yes;200000000
erd1yjv0z66caz8f04n35rx4z8r4hupafsmrn4vu7ruk8kpedcw4tvnqjca4st;01;yes;213894723
erd1gks58d2xlnftwd6pxltccpnhj64x8lhecj9pqvk6xng6x7n4akqq5f5qvt;01;yes;187981755
erd1lyw8ktejzpcu3mlw7hcur4epj9r5qez8cq2ktw2r8xcu97pyt6vqy2a5zw;01;yes;49433
erd1tl08lfs4nx9gvutlhmd7vjuerfws6y7klnjvj2qr0fpqkszaq65sau60f9;01;yes;157779872
erd15f4mfsuldtjn6389uxk9n2m3jpwatuqq9dwzlz2jepygsegkygpq3wat5l;01;yes;90557709
erd16a49cga09j9dev7naggv83dvf24mn58tw7ne72gmc5ys2qch088sg6rq96;01;yes;8791705
erd1ymgntrvj4jx8jugj3rj9xtasy55rqla96udh35sk0s7ezywydkwq8xt5qm;01;yes;1302366
erd1v2pypftzduc3kn0lth09hnvyhm5utnzza6ml422dx88yhvvj5jdqs6u2m0;01;yes;146374934
erd1gyw9wtsjcg62mdrkxym3l4t3qelf83mq85whefp979h7pzmjm0zq96j8gq;01;yes;17407840
erd1ln2fa74yaktsly30vzq9azsh4rva3ammfqf9h4pd8kplqd5jahlspxptjx;01;yes;99876295
erd1r82yjkktxj5jwght5e4ktaup6vhwtx0pk4hyasp90gsf69utwaksk3usha;01;yes;111227366
erd1czfeshul9l783z8pvpr6c2px9ufpqc3swpzjg0dtegzz6a3zptkqrt5v2q;01;yes;93604830
erd19fx6gfys5t78xwzt878u6src29hc99qgy2sfzhmysmh9v4ed3pqsfpw4an;01;yes;7634261
erd1tpty8c9tdym7rm4fravcm0sd227nvtrwjjn8qz2gvcfrqxwyjl7sqr5z99;01;yes;11844329
erd1fulcnjp77f5vrcu3ce3zupj6lktr08eh625rczura70qew3gl67qxd47cp;01;yes;51417131
erd1gqz3nxz4ekehswecvp26wdeu8t8yh9gmlyed8a0sypzr67tqcjsqjnvjq4;01;yes;29806547
erd1x2l8zx99znkjecjzkwmqggl8u2nhpfpkch0dq9w43ugmm7a3f0eqzh4npt;01;yes;129422509
erd18ml4ezujr2q62y0zve9c57j693etyca9drygz0vhe7zfr4wetynqlq0ycc;01;yes;29321678
erd12jh0druhyyflskym2864kdmj0httl7t36huee3eqyfq8ldfdxj0qn8vfld;01;yes;1126609
erd1gw4f9kevwde6te4dc60ue7cv9r6lpuq7z9899uxr56ctgad4dwqqqmg2uq;01;yes;70177494
erd19gh3fxu0uajapyhafuxk52p5k4ampl92k6zva5at9sq0j96vqlvsdc4wxw;01;yes;642806669
erd1pj72rnax4jnp3k0lqxgqq8p4sp388vggwjrpk0p4zstt8wzv9tss7haedc;01;yes;10752190
erd1k87882gm68k7n8hhcs2nnqtgq8d8gkt4gmlkfc5w43nfa9cwj7nqgytjj6;01;yes;43700867
erd16lm7zvgynls7quzzu4stg4h7tk47wnvlz2dqgq589vhjrgdmzgpqmj5850;01;yes;7043934
erd1k92a3pza4qmh5c2yt9sr6q5f3cdy47s3jqx4r9n8p8vvv6qttpfs84r2pn;01;yes;123264017
erd15zu2v5rrczmcte9pwe7mf7e7lc24vhplhlf5x7mzxzqa4yuaqgmqzwn4px;01;yes;2691487
erd1m29lw5zfh6u9zwayf5kxm5xxp6yz4nvfs3nh2m6al6jr0lvnutvs5as2qu;01;yes;128014134
erd16q6edel6uchku8qdl0nanzqdg3c00qwr446l32d6fs0k35vc26zq64dwyn;01;yes;15314720
erd15086ysem92mvgsyfu7r5eg4m4a8500l8get4fnc9t6csh2pyj04qhh58tc;01;yes;252240
erd13xkl0wpywl8lwwvd80kynrsugzl3akuu35398lwwlk8c607ly6sqsd7vpq;01;yes;15966
erd19pv8gn5kwlghtk76t8nwd439y3txm4h83mset84ssqdfetn4j2pqytcnm6;01;yes;248463431
erd1cf72c449pz5d349dpg4lnuttjy7gqzgrsykxtw0q3vntvu9zr5wqwl24yh;01;yes;90283
